YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
1996,11,0.0041,0.0625,0.0359,0.0127,0.013,0.0095,0.0159,0.0791,0.0414,0.0167
1996,12,0.0046,-0.017,-0.0172,-0.0001,-0.0139,-0.0084,0.0034,0.005,0.095,0.0087
1997,1,0.0045,0.0498,-0.0393,0.0637,-0.0014,-0.0464,0.0032,-0.0192,0.0066,0.0272
1997,2,0.0039,-0.0049,0.0127,0.0389,-0.0014,-0.0187,0.0101,-0.0728,-0.003,0.0064
1997,3,0.0043,-0.0502,-0.0004,-0.0306,-0.0154,-0.0112,-0.0154,0.0126,-0.0135,-0.0207
1997,4,0.0043,0.0404,0.0012,-0.0025,0.0107,-0.0201,0.0071,0.0188,-0.0271,-0.0054
1997,5,0.0049,0.0674,0.0604,0.0237,0.0046,0.0247,0.015,0.0023,0.0271,0.0389
1997,6,0.0037,0.041,0.0517,0.0498,0.0082,0.0057,0.0118,-0.0578,0.0443,0.0233
1997,7,0.0043,0.0733,0.0121,0.0106,0.0227,-0.0312,0.0197,0.0367,0.0256,0.0344
1997,8,0.0041,-0.0415,-0.0786,-0.1313,-0.0126,0.0028,-0.0063,0.0212,-0.0061,-0.0007
1997,9,0.0044,0.0535,0.0518,0.0233,0.0104,0.0238,0.0127,0.0209,0.0755,0.0328
1997,10,0.0042,-0.038,-0.0808,-0.1683,0.0103,0.0192,0.0024,0.0233,-0.0297,-0.0195
1997,11,0.0039,0.0298,-0.0139,-0.0404,0.0007,-0.0235,0.0051,-0.1025,0.013,-0.0132
1997,12,0.0048,0.0132,0.0042,0.0193,0.0053,-0.0145,0.0052,-0.0724,0.0149,0.004
1998,1,0.0043,0.0015,0.0417,-0.0827,0.0085,0.0003,0.0103,-0.0204,-0.009,-0.0114
1998,2,0.0039,0.0704,0.0605,0.1005,-0.0047,0.0108,0.0002,-0.0699,-0.0209,0.0288
1998,3,0.0039,0.0476,0.0271,0.0395,-0.0005,-0.0151,0.005,-0.0091,0.0126,0.0261
1998,4,0.0043,0.0073,0.0038,-0.0152,0.0009,0.0186,0.0004,-0.0316,-0.0364,0.0053
1998,5,0.004,-0.0307,-0.0086,-0.141,0.0055,-0.0006,0.0025,-0.0512,-0.0125,-0.0248
1998,6,0.0041,0.0318,0.0037,-0.109,0.0044,-0.0069,0.0013,-0.0396,-0.0103,-0.0054
1998,7,0.004,-0.0246,0.0064,0.0277,-0.0019,0.0027,0.0017,-0.0826,-0.0696,-0.0119
1998,8,0.0043,-0.1608,-0.128,-0.2934,0.012,0.0208,-0.0475,-0.0633,-0.1078,-0.0913
1998,9,0.0046,0.0615,-0.035,0.0588,0.0188,0.0634,-0.0026,0.0976,0.0589,0.0023
1998,10,0.0032,0.0713,0.1013,0.1021,-0.0085,0.0231,-0.0199,-0.0501,-0.0304,0.009
1998,11,0.0031,0.061,0.0484,0.0801,0.0026,-0.0163,0.0427,-0.1248,0.0151,0.034
1998,12,0.0038,0.0616,0.0359,-0.0183,-0.0008,0.0171,-0.0035,-0.021,-0.0339,0.0241
1999,1,0.0035,0.035,-0.0062,-0.0196,0.0036,-0.0076,0.0059,0.0009,-0.0234,0.0189
1999,2,0.0035,-0.0408,-0.0271,0.0062,-0.021,-0.045,-0.0112,-0.0495,-0.0303,-0.0167
1999,3,0.0043,0.0345,0.0377,0.1275,0.0012,-0.0039,0.0049,0.1645,-0.0093,0.0271
1999,4,0.0037,0.0433,0.037,0.12,-0.0005,-0.0063,0.0119,0.0376,0.0934,0.0413
1999,5,0.0034,-0.0246,-0.0547,-0.0092,-0.0122,-0.0239,-0.0103,-0.058,0.0186,0.0038
1999,6,0.004,0.0477,0.0352,0.1095,-0.0072,-0.0247,-0.0059,0.0603,-0.0178,0.0323
1999,7,0.0038,-0.0347,0.0262,-0.031,-0.008,0.0276,-0.0026,0.0321,-0.0405,0.0014
1999,8,0.0039,-0.0138,0,0.0052,-0.0044,-0.0122,-0.0138,0.0665,-0.0257,-0.004
1999,9,0.0039,-0.0281,0.0064,-0.0377,0.0077,0.0221,-0.0077,0.0491,-0.0411,-0.0023
